Label (Grouping),Occupied housing units (Estimate),Occupied housing units (Margin of Error),!Percent occupied housing unit (Estimate),California!!Percent occupied housing units (Margin of Error),Owner-occupied housing units (Estimate),Owner-occupied housing units (Margin of Error),Percent owner-occupied housing units (Estimate),Percent owner-occupied housing units (Margin of Error),Renter-occupied housing units (Estimate),Renter-occupied housing units (Margin of Error),Percent renter-occupied housing units (Estimate),Percent renter-occupied housing units (Margin of Error)
Occupied housing units,"13,550,586","±19,485","13,550,586","±19,485","7,565,502","±31,664","7,565,502","±31,664","5,985,084","±30,154","5,985,084","±30,154"
    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,,,,,,,,,,,,
        One race --,,,,,,,,,,,,
            White,"6,425,859","±20,005",47.40%,±0.1,"4,049,192","±21,341",53.50%,±0.3,"2,376,667","±19,763",39.70%,±0.3
            Black or African American,"814,524","±10,104",6.00%,±0.1,"287,061","±8,708",3.80%,±0.1,"527,463","±11,347",8.80%,±0.2
            American Indian and Alaska Native,"157,658","±6,713",1.20%,±0.1,"75,225","±4,615",1.00%,±0.1,"82,433","±4,795",1.40%,±0.1
            Asian,"2,064,774","±12,805",15.20%,±0.1,"1,268,876","±14,503",16.80%,±0.2,"795,898","±12,100",13.30%,±0.2
            Native Hawaiian and Other Pacific Islander,"46,769","±3,305",0.30%,±0.1,"21,630","±2,190",0.30%,±0.1,"25,139","±2,639",0.40%,±0.1
            Some other race,"2,010,558","±20,554",14.80%,±0.1,"866,197","±18,476",11.40%,±0.2,"1,144,361","±18,327",19.10%,±0.3
        Two or more races,"2,030,444","±20,596",15.00%,±0.2,"997,321","±16,306",13.20%,±0.2,"1,033,123","±15,558",17.30%,±0.3
        Hispanic or Latino origin,"4,220,481","±16,595",31.10%,±0.1,"1,935,750","±21,975",25.60%,±0.3,"2,284,731","±23,409",38.20%,±0.3
"        White alone, not Hispanic or Latino","5,840,157","±16,965",43.10%,±0.1,"3,764,774","±19,676",49.80%,±0.2,"2,075,383","±19,118",34.70%,±0.3
    AGE OF HOUSEHOLDER,,,,,,,,,,,,
        Under 35 years,"2,472,918","±19,498",18.20%,±0.1,"617,931","±13,985",8.20%,±0.2,"1,854,987","±19,182",31.00%,±0.3
        35 to 44 years,"2,598,031","±18,644",19.20%,±0.1,"1,257,983","±14,195",16.60%,±0.2,"1,340,048","±19,414",22.40%,±0.3
        45 to 54 years,"2,497,117","±17,228",18.40%,±0.1,"1,458,330","±17,139",19.30%,±0.2,"1,038,787","±14,712",17.40%,±0.2
        55 to 64 years,"2,494,231","±14,733",18.40%,±0.1,"1,677,358","±14,287",22.20%,±0.2,"816,873","±14,498",13.60%,±0.2
        65 to 74 years,"1,994,543","±12,533",14.70%,±0.1,"1,459,429","±12,488",19.30%,±0.2,"535,114","±10,134",8.90%,±0.2
        75 to 84 years,"1,087,628","±9,687",8.00%,±0.1,"809,263","±10,357",10.70%,±0.1,"278,365","±8,795",4.70%,±0.1
        85 years and over,"406,118","±8,569",3.00%,±0.1,"285,208","±7,658",3.80%,±0.1,"120,910","±5,149",2.00%,±0.1
    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,,,,,,,,
        Less than high school graduate,"1,635,966","±20,754",12.10%,±0.2,"674,647","±12,285",8.90%,±0.2,"961,319","±16,958",16.10%,±0.3
        High school graduate,"2,343,830","±26,652",17.30%,±0.2,"1,141,626","±18,077",15.10%,±0.2,"1,202,204","±20,597",20.10%,±0.3
        Some college or associate's degree,"3,931,463","±31,505",29.00%,±0.2,"2,181,658","±23,238",28.80%,±0.3,"1,749,805","±21,863",29.20%,±0.4
        Bachelor's degree or higher,"5,639,327","±32,100",41.60%,±0.2,"3,567,571","±28,044",47.20%,±0.3,"2,071,756","±21,636",34.60%,±0.3
    YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,,,,,,
        Moved in 2021 or later,"2,265,665","±23,271",16.70%,±0.2,"670,614","±14,952",8.90%,±0.2,"1,595,051","±18,419",26.70%,±0.3
        Moved in 2018 to 2020,"2,929,707","±23,516",21.60%,±0.2,"1,157,900","±16,394",15.30%,±0.2,"1,771,807","±21,625",29.60%,±0.3
        Moved in 2010 to 2017,"3,609,955","±23,300",26.60%,±0.2,"1,925,338","±23,103",25.40%,±0.3,"1,684,617","±21,637",28.10%,±0.3
        Moved in 2000 to 2009,"2,247,109","±24,425",16.60%,±0.2,"1,635,332","±22,609",21.60%,±0.3,"611,777","±12,049",10.20%,±0.2
        Moved in 1990 to 1999,"1,294,886","±15,779",9.60%,±0.1,"1,076,141","±13,793",14.20%,±0.2,"218,745","±7,686",3.70%,±0.1
        Moved in 1989 or earlier,"1,203,264","±16,907",8.90%,±0.1,"1,100,177","±16,660",14.50%,±0.2,"103,087","±4,565",1.70%,±0.1
