Label (Grouping),Owner-Occupied Housing Units with a Mortage: Estimate,Owner-Occupied Housing Units with a Mortage: Margin of Error,Percent owner-occupied housing units with a mortgage: Estimate,Percent owner-occupied housing units with a mortgage: Margin of Error
Owner-occupied housing units with a mortgage,"5,076,532","±29,279","5,076,532","±29,279"
    VALUE,,,,
"        Less than $50,000","70,874","±4,413",1.40%,±0.1
"        $50,000 to $99,999","46,663","±3,535",0.90%,±0.1
"        $100,000 to $299,999","272,656","±9,588",5.40%,±0.2
"        $300,000 to $499,999","892,861","±13,795",17.60%,±0.3
"        $500,000 to $749,999","1,318,659","±17,155",26.00%,±0.3
"        $750,000 to $999,999","984,096","±16,555",19.40%,±0.3
"        $1,000,000 or more","1,490,723","±16,701",29.40%,±0.3
        Median (dollars),"738,000","±3,099","738,000","±3,099"
    MORTGAGE STATUS,,,,
        With a mortgage and either a second mortgage or home equity loan,"465,128","±10,846",9.20%,±0.2
            Only Second mortgage,"71,460","±4,471",1.40%,±0.1
            Only Home equity loan,"374,777","±9,056",7.40%,±0.2
            Both second mortgage and home equity loan,"18,891","±2,378",0.40%,±0.1
        No second mortgage and no home equity loan,"4,537,791","±26,715",89.40%,±0.2
        Home equity loan without a primary mortgage,"73,613","±4,230",1.50%,±0.1
    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS),,,,
"        Less than $10,000","111,029","±5,869",2.20%,±0.1
"        $10,000 to $24,999","164,109","±6,616",3.20%,±0.1
"        $25,000 to $34,999","144,735","±7,064",2.90%,±0.1
"        $35,000 to $49,999","256,209","±7,936",5.00%,±0.2
"        $50,000 to $74,999","521,801","±11,808",10.30%,±0.2
"        $75,000 to $99,999","564,234","±14,935",11.10%,±0.3
"        $100,000 to $149,999","1,053,996","±17,864",20.80%,±0.3
"        $150,000 or more","2,260,419","±23,261",44.50%,±0.4
        Median household income (dollars),"134,629",±942,"134,629",±942
    RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,
        Less than 2.0,"384,696","±10,115",7.60%,±0.2
        2.0 to 2.9,"588,773","±13,667",11.60%,±0.3
        3.0 to 3.9,"743,746","±15,082",14.70%,±0.3
        4.0 or more,"3,327,118","±26,096",65.50%,±0.4
        Not computed,"32,199","±3,459",0.60%,±0.1
    MONTHLY HOUSING COSTS,,,,
        Less than $200,"7,688","±1,379",0.20%,±0.1
        $200 to $399,"16,238","±2,083",0.30%,±0.1
        $400 to $599,"23,944","±2,809",0.50%,±0.1
        $600 to $799,"43,783","±3,397",0.90%,±0.1
        $800 to $999,"89,051","±4,530",1.80%,±0.1
"        $1,000 to $1,499","480,514","±12,803",9.50%,±0.2
"        $1,500 to $1,999","773,002","±15,616",15.20%,±0.3
"        $2,000 to $2,499","845,237","±12,873",16.60%,±0.3
"        $2,500 to $2,999","745,890","±15,273",14.70%,±0.3
"        $3,000 or more","2,051,185","±19,970",40.40%,±0.3
        Median (dollars),"2,673",±11,"2,673",±11
    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,
"        Less than $20,000","182,102","±7,449",3.60%,±0.1
            Less than 20 percent,973,±539,0.00%,±0.1
            20 to 29 percent,"1,252",±612,0.00%,±0.1
            30 percent or more,"179,877","±7,470",3.50%,±0.1
"        $20,000 to $34,999","205,572","±8,245",4.00%,±0.2
            Less than 20 percent,"1,847",±618,0.00%,±0.1
            20 to 29 percent,"4,310",±932,0.10%,±0.1
            30 percent or more,"199,415","±8,057",3.90%,±0.2
"        $35,000 to $49,999","256,209","±7,936",5.00%,±0.2
            Less than 20 percent,"6,466","±1,620",0.10%,±0.1
            20 to 29 percent,"16,402","±2,309",0.30%,±0.1
            30 percent or more,"233,341","±7,925",4.60%,±0.2
"        $50,000 to $74,999","521,801","±11,808",10.30%,±0.2
            Less than 20 percent,"26,625","±2,864",0.50%,±0.1
            20 to 29 percent,"88,932","±4,509",1.80%,±0.1
            30 percent or more,"406,244","±11,202",8.00%,±0.2
"        $75,000 or more","3,878,649","±28,181",76.40%,±0.3
            Less than 20 percent,"1,798,599","±19,327",35.40%,±0.3
            20 to 29 percent,"1,191,345","±18,232",23.50%,±0.3
            30 percent or more,"888,705","±15,832",17.50%,±0.3
        Zero or negative income,"32,199","±3,459",0.60%,±0.1
    REAL ESTATE TAXES,,,,
        Less than $800,"139,271","±6,252",2.70%,±0.1
"        $800 to $1,499","272,513","±8,625",5.40%,±0.2
"        $1,500 or more","4,558,161","±27,926",89.80%,±0.2
        No real estate taxes paid,"106,587","±5,338",2.10%,±0.1
        Median (dollars),"5,479",±39,"5,479",±39
