Label (Grouping),Owner-occupied housing units with a mortgage (Estimate),Owner-occupied housing units with a mortgage (Margin of Error),Percent owner-occupied housing units with a mortgage (Estimate),Percent owner-occupied housing units with a mortgage (Margin of Error)
Owner-occupied housing units with a mortgage,"3,884,497","±29,551","3,884,497","±29,551"
    VALUE,,,,
"        Less than $50,000","110,664","±6,769",2.80%,±0.2
"        $50,000 to $99,999","154,606","±7,997",4.00%,±0.2
"        $100,000 to $299,999","1,554,218","±24,643",40.00%,±0.5
"        $300,000 to $499,999","1,212,621","±20,058",31.20%,±0.5
"        $500,000 to $749,999","513,525","±12,315",13.20%,±0.3
"        $750,000 to $999,999","192,865","±8,436",5.00%,±0.2
"        $1,000,000 or more","145,998","±6,443",3.80%,±0.2
        Median (dollars),"316,200","±2,582","316,200","±2,582"
    MORTGAGE STATUS,,,,
        With a mortgage and either a second mortgage or home equity loan,"166,020","±9,013",4.30%,±0.2
            Only Second mortgage,"39,627","±3,755",1.00%,±0.1
            Only Home equity loan,"120,421","±7,559",3.10%,±0.2
            Both second mortgage and home equity loan,"5,972","±1,506",0.20%,±0.1
        No second mortgage and no home equity loan,"3,655,919","±27,603",94.10%,±0.2
        Home equity loan without a primary mortgage,"62,558","±4,646",1.60%,±0.1
    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS),,,,
"        Less than $10,000","79,222","±5,552",2.00%,±0.1
"        $10,000 to $24,999","130,308","±6,798",3.40%,±0.2
"        $25,000 to $34,999","135,907","±7,739",3.50%,±0.2
"        $35,000 to $49,999","247,276","±10,968",6.40%,±0.3
"        $50,000 to $74,999","550,395","±17,676",14.20%,±0.4
"        $75,000 to $99,999","540,311","±16,964",13.90%,±0.4
"        $100,000 to $149,999","878,853","±16,599",22.60%,±0.4
"        $150,000 or more","1,322,225","±17,916",34.00%,±0.4
        Median household income (dollars),"111,986","±1,089","111,986","±1,089"
    RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,
        Less than 2.0,"1,187,543","±22,426",30.60%,±0.5
        2.0 to 2.9,"1,004,995","±18,695",25.90%,±0.4
        3.0 to 3.9,"624,165","±13,871",16.10%,±0.4
        4.0 or more,"1,047,782","±18,641",27.00%,±0.4
        Not computed,"20,012","±3,193",0.50%,±0.1
    MONTHLY HOUSING COSTS,,,,
        Less than $200,"4,157","±1,332",0.10%,±0.1
        $200 to $399,"13,071","±2,134",0.30%,±0.1
        $400 to $599,"37,033","±3,384",1.00%,±0.1
        $600 to $799,"105,477","±5,715",2.70%,±0.1
        $800 to $999,"184,008","±7,869",4.70%,±0.2
"        $1,000 to $1,499","807,202","±16,399",20.80%,±0.4
"        $1,500 to $1,999","969,851","±19,748",25.00%,±0.5
"        $2,000 to $2,499","690,834","±13,565",17.80%,±0.3
"        $2,500 to $2,999","427,308","±13,020",11.00%,±0.3
"        $3,000 or more","645,556","±14,174",16.60%,±0.4
        Median (dollars),"1,904",±8,"1,904",±8
    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,
"        Less than $20,000","138,176","±7,577",3.60%,±0.2
            Less than 20 percent,509,±324,0.00%,±0.1
            20 to 29 percent,501,±314,0.00%,±0.1
            30 percent or more,"137,166","±7,556",3.50%,±0.2
"        $20,000 to $34,999","187,249","±9,286",4.80%,±0.2
            Less than 20 percent,"3,291","±1,176",0.10%,±0.1
            20 to 29 percent,"9,933","±2,112",0.30%,±0.1
            30 percent or more,"174,025","±9,089",4.50%,±0.2
"        $35,000 to $49,999","247,276","±10,968",6.40%,±0.3
            Less than 20 percent,"10,389","±1,845",0.30%,±0.1
            20 to 29 percent,"42,004","±3,846",1.10%,±0.1
            30 percent or more,"194,883","±10,566",5.00%,±0.3
"        $50,000 to $74,999","550,395","±17,676",14.20%,±0.4
            Less than 20 percent,"69,267","±5,259",1.80%,±0.1
            20 to 29 percent,"176,242","±8,736",4.50%,±0.2
            30 percent or more,"304,886","±12,001",7.80%,±0.3
"        $75,000 or more","2,741,389","±25,951",70.60%,±0.5
            Less than 20 percent,"1,633,585","±21,792",42.10%,±0.6
            20 to 29 percent,"795,194","±16,890",20.50%,±0.4
            30 percent or more,"312,610","±12,629",8.00%,±0.3
        Zero or negative income,"20,012","±3,193",0.50%,±0.1
    REAL ESTATE TAXES,,,,
        Less than $800,"187,657","±9,545",4.80%,±0.2
"        $800 to $1,499","234,225","±8,282",6.00%,±0.2
"        $1,500 or more","3,277,256","±27,090",84.40%,±0.4
        No real estate taxes paid,"185,359","±8,984",4.80%,±0.2
        Median (dollars),"5,123",±50,"5,123",±50
