Label (Grouping),Occupied housing units (Estimate),Occupied housing units (Margin of Error),Percent occupied housing units (Estimate),Percent occupied housing units (Margin of Error),Texas!!Owner-occupied housing units!!Estimate,Texas!!Owner-occupied housing units!!Margin of Error,Percent owner-occupied housing units (Estimate),Percent owner-occupied housing units (Margin of Error),!Renter-occupied housing units (Estimate),Renter-occupied housing units (Margin of Error),Percent renter-occupied housing units (Estimate),Percent renter-occupied housing units (Margin of Error)
Occupied housing units,"11,087,708","±20,293","11,087,708","±20,293","6,926,616","±30,206","6,926,616","±30,206","4,161,092","±28,683","4,161,092","±28,683"
    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,,,,,,,,,,,,
        One race --,,,,,,,,,,,,
            White,"5,868,303","±25,818",52.90%,±0.2,"4,045,340","±23,029",58.40%,±0.3,"1,822,963","±22,958",43.80%,±0.5
            Black or African American,"1,419,286","±12,495",12.80%,±0.1,"588,128","±11,766",8.50%,±0.2,"831,158","±14,709",20.00%,±0.3
            American Indian and Alaska Native,"83,646","±5,682",0.80%,±0.1,"51,831","±4,197",0.70%,±0.1,"31,815","±3,531",0.80%,±0.1
            Asian,"569,840","±7,756",5.10%,±0.1,"374,687","±7,336",5.40%,±0.1,"195,153","±7,469",4.70%,±0.2
            Native Hawaiian and Other Pacific Islander,"12,085","±2,322",0.10%,±0.1,"5,941","±1,899",0.10%,±0.1,"6,144","±1,401",0.10%,±0.1
            Some other race,"918,625","±16,143",8.30%,±0.1,"511,479","±13,388",7.40%,±0.2,"407,146","±13,251",9.80%,±0.3
        Two or more races,"2,215,923","±24,190",20.00%,±0.2,"1,349,210","±19,654",19.50%,±0.3,"866,713","±18,560",20.80%,±0.4
        Hispanic or Latino origin,"3,714,464","±18,503",33.50%,±0.2,"2,198,284","±20,021",31.70%,±0.2,"1,516,180","±22,583",36.40%,±0.5
"        White alone, not Hispanic or Latino","5,036,688","±22,409",45.40%,±0.2,"3,557,385","±19,034",51.40%,±0.2,"1,479,303","±20,604",35.60%,±0.5
    AGE OF HOUSEHOLDER,,,,,,,,,,,,
        Under 35 years,"2,535,497","±20,510",22.90%,±0.2,"825,547","±17,505",11.90%,±0.2,"1,709,950","±25,068",41.10%,±0.5
        35 to 44 years,"2,216,664","±18,707",20.00%,±0.2,"1,345,776","±18,283",19.40%,±0.2,"870,888","±17,709",20.90%,±0.4
        45 to 54 years,"1,998,656","±15,618",18.00%,±0.1,"1,407,849","±18,128",20.30%,±0.2,"590,807","±13,855",14.20%,±0.3
        55 to 64 years,"1,887,558","±14,401",17.00%,±0.1,"1,425,303","±11,750",20.60%,±0.2,"462,255","±13,001",11.10%,±0.3
        65 to 74 years,"1,477,425","±11,237",13.30%,±0.1,"1,162,183","±11,200",16.80%,±0.2,"315,242","±9,679",7.60%,±0.2
        75 to 84 years,"734,342","±8,690",6.60%,±0.1,"592,153","±9,397",8.50%,±0.1,"142,189","±5,985",3.40%,±0.1
        85 years and over,"237,566","±7,191",2.10%,±0.1,"167,805","±5,781",2.40%,±0.1,"69,761","±4,406",1.70%,±0.1
    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,,,,,,,,
        Less than high school graduate,"1,313,481","±20,609",11.80%,±0.2,"730,172","±16,379",10.50%,±0.2,"583,309","±14,812",14.00%,±0.4
        High school graduate,"2,366,042","±29,881",21.30%,±0.3,"1,342,112","±20,270",19.40%,±0.3,"1,023,930","±22,049",24.60%,±0.5
        Some college or associate's degree,"3,316,074","±34,525",29.90%,±0.3,"2,004,629","±25,552",28.90%,±0.3,"1,311,445","±24,768",31.50%,±0.6
        Bachelor's degree or higher,"4,092,111","±36,931",36.90%,±0.3,"2,849,703","±29,683",41.10%,±0.4,"1,242,408","±22,667",29.90%,±0.5
    YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,,,,,,
        Moved in 2021 or later,"2,457,021","±26,629",22.20%,±0.2,"724,862","±16,562",10.50%,±0.2,"1,732,159","±25,443",41.60%,±0.5
        Moved in 2018 to 2020,"2,784,333","±28,527",25.10%,±0.3,"1,357,581","±23,703",19.60%,±0.3,"1,426,752","±25,001",34.30%,±0.6
        Moved in 2010 to 2017,"2,620,628","±25,050",23.60%,±0.2,"1,884,032","±22,722",27.20%,±0.3,"736,596","±17,706",17.70%,±0.4
        Moved in 2000 to 2009,"1,686,377","±22,668",15.20%,±0.2,"1,502,525","±21,333",21.70%,±0.3,"183,852","±7,938",4.40%,±0.2
        Moved in 1990 to 1999,"823,835","±16,881",7.40%,±0.2,"776,823","±16,162",11.20%,±0.2,"47,012","±3,552",1.10%,±0.1
        Moved in 1989 or earlier,"715,514","±14,261",6.50%,±0.1,"680,793","±13,298",9.80%,±0.2,"34,721","±3,825",0.80%,±0.1
